Date,Open,High,Low,Close,Volume,Daily_Return_Pct,Daily_Range,MA_20,MA_50,MA_200,EMA_12,EMA_26,MACD,MACD_Signal,BB_Upper,BB_Lower,BB_Width,RSI_14,Volume_MA_20,Cumulative_Return_Pct,Year,Month,Quarter,Day_of_Week,Volatility_30d
2000-02-08,46.2,46.65,46.0,46.5,644616.0,-0.1074,0.65,49.446,51.02,55.6491,48.0406,49.5504,-1.5099,-1.225,54.0385,44.8535,9.185,24.6622,1130562.7,167.1,2000,2,1,Tuesday,
2000-02-09,46.25,46.48,45.71,46.29,816091.0,-0.4516,0.77,49.082,51.0138,55.5511,47.7713,49.3089,-1.5377,-1.2876,53.4466,44.7174,8.7292,27.9337,1122823.9,165.89,2000,2,1,Wednesday,
2000-02-10,45.66,46.6,45.65,46.5,1092424.0,0.4537,0.95,48.7955,51.0078,55.458,47.5757,49.1009,-1.5252,-1.3351,53.0406,44.5504,8.4903,30.1507,1129021.25,167.1,2000,2,1,Thursday,
2000-02-11,46.55,46.6,45.8,46.5,1615240.0,0.0,0.8,48.495,50.9858,55.3654,47.4102,48.9082,-1.498,-1.3677,52.4756,44.5144,7.9613,32.1716,1152759.3,167.1,2000,2,1,Friday,1.6879906176572341
2000-02-14,46.1,46.7,45.63,46.35,764273.0,-0.3226,1.07,48.1525,50.9608,55.2724,47.2471,48.7187,-1.4716,-1.3885,51.5671,44.7379,6.8293,37.1517,1134148.0,166.23,2000,2,1,Monday,1.6725949767579307
2000-02-15,45.7,46.29,45.5,45.51,613050.0,-1.8123,0.79,47.818,50.884,55.1783,46.9798,48.481,-1.5012,-1.411,50.8528,44.7832,6.0696,32.9218,1112419.95,161.41,2000,2,1,Tuesday,1.640606166655778
2000-02-16,45.9,46.2,45.31,46.0,1005124.0,1.0767,0.89,47.568,50.8298,55.0828,46.8291,48.2972,-1.4682,-1.4224,50.3086,44.8274,5.4812,21.885,1078336.45,164.22,2000,2,1,Wednesday,1.5543369380727823
2000-02-17,45.55,47.59,45.46,45.71,1352986.0,-0.6304,2.13,47.366,50.757,54.9858,46.6569,48.1056,-1.4487,-1.4277,50.0237,44.7083,5.3155,18.8088,1060137.15,162.56,2000,2,1,Thursday,1.5548486542899047
2000-02-18,45.7,47.14,45.06,45.55,1725728.0,-0.35,2.08,47.1605,50.7078,54.886,46.4866,47.9163,-1.4297,-1.4281,49.7045,44.6165,5.0881,23.5294,1071480.0,161.64,2000,2,1,Friday,1.4246995914041414
2000-02-21,45.01,45.7,45.01,45.49,486868.0,-0.1317,0.69,46.977,50.6456,54.7935,46.3333,47.7366,-1.4033,-1.4231,49.442,44.512,4.93,29.4841,1044898.35,161.29,2000,2,1,Monday,1.4186404512731572
2000-02-22,45.41,46.35,44.8,45.0,1468243.0,-1.0772,1.55,46.8265,50.5736,54.7075,46.1282,47.5339,-1.4057,-1.4196,49.3915,44.2615,5.1299,17.2414,1074772.7,158.48,2000,2,1,Tuesday,1.3644793848659418
2000-02-23,44.7,45.2,41.38,42.3,3836184.0,-6.0,3.82,46.5415,50.4576,54.6058,45.5392,47.1462,-1.6069,-1.4571,49.7447,43.3383,6.4064,10.9204,1200540.1,142.97,2000,2,1,Wednesday,1.6724639709329963
2000-02-24,41.8,42.15,39.61,39.61,2195606.0,-6.3593,2.54,46.046,50.2366,54.4881,44.627,46.5879,-1.9609,-1.5579,50.2262,41.8658,8.3604,7.9727,1257563.05,127.52,2000,2,1,Thursday,1.9374649231233412
2000-02-25,40.2,41.85,40.11,41.64,1525546.0,5.125,1.74,45.6435,49.9664,54.3856,44.1675,46.2214,-2.0539,-1.6571,49.8959,41.3911,8.5049,26.3259,1264961.3,139.18,2000,2,1,Friday,2.2158328457954015
2000-02-28,41.47,42.59,41.22,42.2,831730.0,1.3449,1.37,45.341,49.724,54.286,43.8648,45.9235,-2.0587,-1.7374,49.6728,41.0092,8.6635,30.239,1258297.65,142.4,2000,2,1,Monday,2.216830459304196
2000-02-29,42.8,42.8,41.2,41.45,810321.0,-1.7773,1.6,45.0555,49.4806,54.184,43.4933,45.5922,-2.0989,-1.8097,49.6284,40.4826,9.1458,28.8091,1234558.65,138.09,2000,2,1,Tuesday,2.215101431529834
2000-03-01,42.4,42.85,40.26,40.75,1554588.0,-1.6888,2.59,44.71,49.206,54.0814,43.0712,45.2335,-2.1622,-1.8802,49.4937,39.9263,9.5673,25.8606,1266837.65,134.07,2000,3,1,Wednesday,2.2030800350063724
2000-03-02,40.91,41.77,40.1,41.45,948991.0,1.7178,1.67,44.417,48.9318,53.9787,42.8218,44.9532,-2.1314,-1.9304,49.2478,39.5862,9.6615,29.9762,1259333.5,138.09,2000,3,1,Thursday,2.2216175318328597
2000-03-03,41.7,42.25,40.62,42.25,848369.0,1.93,1.63,44.18,48.6736,53.8894,42.7339,44.753,-2.0191,-1.9482,48.9439,39.4161,9.5278,34.54,1240050.65,142.68,2000,3,1,Friday,2.267722745893197
2000-03-06,42.79,42.79,41.26,41.67,508528.0,-1.3728,1.53,43.936,48.401,53.7999,42.5702,44.5246,-1.9544,-1.9494,48.6887,39.1833,9.5053,35.2308,1232225.3,139.35,2000,3,1,Monday,2.2714576431567406
2000-03-07,41.0,41.82,40.01,40.28,991839.0,-3.3357,1.81,43.625,48.0816,53.7004,42.2178,44.2102,-1.9924,-1.958,48.4841,38.7659,9.7181,29.4245,1249586.45,131.37,2000,3,1,Tuesday,2.305935562619655
2000-03-08,40.0,41.65,40.0,41.4,1148932.0,2.7805,1.65,43.3805,47.7902,53.6054,42.092,44.002,-1.91,-1.9484,48.1665,38.5945,9.572,35.37,1266228.5,137.8,2000,3,1,Wednesday,2.3838193157538017
2000-03-09,41.75,41.75,40.56,41.25,1041304.0,-0.3623,1.19,43.118,47.5072,53.5096,41.9625,43.7982,-1.8357,-1.9259,47.7572,38.4788,9.2785,35.394,1263672.5,136.94,2000,3,1,Thursday,2.2834325495953953
2000-03-10,41.25,41.5,40.35,41.01,579379.0,-0.5818,1.15,42.8435,47.2194,53.4107,41.8159,43.5917,-1.7757,-1.8958,47.2857,38.4013,8.8843,34.9664,1211879.45,135.56,2000,3,1,Friday,2.2767465675575447
2000-03-13,41.4,41.94,40.64,41.6,672751.0,1.4387,1.3,42.606,46.936,53.3117,41.7827,43.4441,-1.6614,-1.849,46.7572,38.4548,8.3024,38.6667,1207303.35,138.95,2000,3,1,Monday,2.2642740850908036
2000-03-14,41.6,42.94,41.6,42.36,1117299.0,1.8269,1.34,42.4485,46.6982,53.2126,41.8715,43.3638,-1.4923,-1.7776,46.3684,38.5286,7.8397,50.2297,1232515.8,143.32,2000,3,1,Tuesday,2.2756824701235425
2000-03-15,42.41,43.87,42.04,42.91,1458647.0,1.2984,1.83,42.294,46.5118,53.1172,42.0313,43.3302,-1.2989,-1.6819,45.8513,38.7367,7.1145,65.1099,1255191.95,146.47,2000,3,1,Wednesday,2.2811157824248176
2000-03-16,43.65,44.85,43.4,44.58,1807677.0,3.8919,1.45,42.2375,46.3634,53.0256,42.4234,43.4228,-0.9994,-1.5454,45.5967,38.8783,6.7184,63.9204,1277926.5,156.07,2000,3,1,Thursday,2.4053951910953906
2000-03-17,45.25,45.67,43.45,43.99,16139613.0,-1.3235,2.22,42.1595,46.1732,52.9358,42.6644,43.4648,-0.8004,-1.3964,45.2571,39.0619,6.1952,58.4514,1998620.75,152.68,2000,3,1,Friday,2.4129854955335257
2000-03-20,44.49,44.6,43.3,43.86,641555.0,-0.2955,1.3,42.078,45.9774,52.8421,42.8484,43.4941,-0.6457,-1.2462,44.8781,39.2779,5.6003,62.0862,2006355.1,151.93,2000,3,1,Monday,2.408994355740276
2000-03-21,44.3,44.3,43.44,43.95,472741.0,0.2052,0.86,42.0255,45.7666,52.7483,43.0178,43.5278,-0.51,-1.099,44.6273,39.4237,5.2036,67.094,1956580.0,152.45,2000,3,1,Tuesday,2.409949704366196
2000-03-22,44.0,44.4,43.51,44.0,532532.0,0.1138,0.89,42.1105,45.5752,52.6402,43.1689,43.5628,-0.3939,-0.958,44.8571,39.3639,5.4932,64.6383,1791397.4,152.74,2000,3,1,Wednesday,2.4097969059295408
2000-03-23,44.39,44.7,43.15,44.2,1206945.0,0.4545,1.55,42.34,45.4146,52.5293,43.3276,43.61,-0.2824,-0.8229,44.9715,39.7085,5.2631,62.0222,1741964.35,153.88,2000,3,1,Thursday,2.4098037134950876
2000-03-24,44.79,45.74,44.2,44.5,1255589.0,0.6787,1.54,42.483,45.2544,52.4167,43.5079,43.6759,-0.168,-0.6919,45.2611,39.7049,5.5563,68.0715,1728466.5,155.61,2000,3,1,Friday,2.4143503737673098
2000-03-27,45.15,46.55,44.81,45.1,1600721.0,1.3483,1.74,42.628,45.0924,52.3172,43.7529,43.7814,-0.0286,-0.5592,45.6371,39.6189,6.0181,84.2329,1766916.05,159.05,2000,3,1,Monday,2.42869664602278
2000-03-28,45.5,46.29,44.97,45.05,1071193.0,-0.1109,1.32,42.808,44.9494,52.2081,43.9524,43.8754,0.077,-0.432,45.9482,39.6678,6.2804,80.5695,1779959.65,158.77,2000,3,1,Tuesday,2.4061819206526893
2000-03-29,45.5,46.17,45.4,45.95,685852.0,1.9978,0.77,43.068,44.8484,52.1098,44.2597,44.0291,0.2307,-0.2994,46.3487,39.7873,6.5614,84.9702,1736522.85,163.94,2000,3,1,Wednesday,2.4262604978448423
2000-03-30,46.0,47.09,44.96,45.0,1123053.0,-2.0675,2.13,43.2455,44.7534,52.0192,44.3736,44.101,0.2726,-0.185,46.5417,39.9493,6.5924,76.8506,1745225.95,158.48,2000,3,1,Thursday,2.4536821275100147
2000-03-31,45.7,46.0,44.71,45.85,697448.0,1.8889,1.29,43.4255,44.6772,51.9364,44.6008,44.2305,0.3702,-0.074,46.8821,39.9689,6.9132,77.6333,1737679.9,163.36,2000,3,1,Friday,2.477319588754667
2000-04-03,46.0,46.0,43.51,44.35,936565.0,-3.2715,2.49,43.5595,44.581,51.8456,44.5622,44.2394,0.3228,0.0054,46.9364,40.1826,6.7538,61.8031,1759081.75,154.75,2000,4,2,Monday,2.550584281486405
2000-04-04,44.25,44.62,43.36,44.05,999619.0,-0.6764,1.26,43.748,44.5018,51.7499,44.4834,44.2254,0.258,0.0559,46.7547,40.7413,6.0134,56.9682,1759470.75,153.02,2000,4,2,Tuesday,2.5460789324655337
2000-04-05,43.92,44.66,42.3,43.2,1250410.0,-1.9296,2.36,43.838,44.4058,51.6529,44.2859,44.1494,0.1365,0.072,46.6502,41.0258,5.6245,40.625,1764544.65,148.14,2000,4,2,Wednesday,2.3155013740827957
